"","0.4","0.7","1","1.3","1.7"
"1",0.2,0.2,0.2,0.2,0.2
"2",3.12877561325263e-05,0.102784020316989,0.487087622934143,0.322942144133265,0.0871549248594702
"3",3.43387176882781e-12,0.00141072413615557,0.26013420106265,0.542853594799263,0.195601479998497
"4",1.5324094559537e-15,0.000799386982341604,0.411210580877208,0.522285837881758,0.0657041942586911
"5",1.12577807506545e-22,7.70528219942922e-06,0.156928374003555,0.699476707889063,0.143587212825182
"6",4.85386348445474e-23,8.18050965351762e-05,0.543928006430757,0.44238090072725,0.013609287745458
"7",2.07462786354063e-26,2.95402568650839e-05,0.577243832738332,0.414408379482155,0.00831824752264839
"8",1.45616933476793e-28,2.96557406073389e-05,0.711084487237254,0.286104139933542,0.00278171708859609
"9",2.40757201671684e-29,6.96760869347532e-05,0.862248472703658,0.137132699757417,0.000549151451989872
"10",9.34307067761019e-31,7.58525252745661e-05,0.90918041417359,0.0905226959925268,0.000221037308608863
"11",3.5595831723682e-32,8.10691274808155e-05,0.941167393339297,0.0586641925038767,8.73450293456551e-05
"12",1.43694156255692e-37,3.55750525378034e-06,0.832315266018627,0.167217515714451,0.000463660761667623
"13",2.08486488270298e-40,2.00430054438524e-06,0.88267861084869,0.117153371305358,0.000166013545407928
"14",8.12817460339022e-42,2.86024539059239e-06,0.943972690269516,0.0559911545948601,3.32948902335748e-05
"15",1.37978262811379e-45,5.42129772836174e-07,0.922027590275895,0.0779246587159971,4.7208878334773e-05
"16",1.19964801330527e-48,2.03229875552834e-07,0.928181370471192,0.0717878190172943,3.06072816386137e-05
"17",3.50676583330171e-49,5.70534758573668e-07,0.977103665231601,0.0228926702525733,3.09398106687588e-06
"18",2.3009438515868e-52,1.5830379202538e-07,0.972063039865629,0.0279332395135783,3.56231700050681e-06
"19",1.52118655751973e-55,4.90303809887078e-08,0.970131927888243,0.029864915995834,3.10708554231508e-06
"20",2.30298113101077e-59,1.00282402152765e-08,0.962218581177534,0.0377778944702385,3.51432398756878e-06
"21",6.17705020855215e-66,2.41086261901024e-10,0.868627290527592,0.131349043385035,2.36658462871826e-05
"22",2.84517835772623e-67,5.07041346254041e-10,0.959690567022252,0.0403077080464965,1.72442420994562e-06
"23",1.06086532403401e-68,6.92021316633563e-10,0.981575479372145,0.018424189175195,3.30760638727943e-07
"24",4.46629108335294e-70,8.54133975363116e-10,0.99034075275491,0.00965915919611939,8.71948371223902e-08
"25",1.46964479329358e-76,1.84118996966558e-11,0.955238323721096,0.0447606996560224,9.76604469511116e-07
"26",3.27197476123362e-82,1.05411194330802e-12,0.90688702906955,0.0931105589725642,2.41195683210599e-06
"27",2.11983829788059e-84,1.0806758104942e-12,0.959227924682226,0.0407717346066792,3.40710013816065e-07
"28",1.57053813556269e-86,9.37638180265517e-13,0.977589868477464,0.0224100453296446,8.61919535214218e-08
"29",3.86430844110313e-88,9.97774564155013e-13,0.987695725538491,0.0123042506379767,2.38225347418011e-08
"30",2.35338405531497e-90,6.40814490969605e-13,0.990854512218337,0.00914547636749083,1.14135313467581e-08
