"","0.4","0.7","1","1.3","1.7"
"1",0.2,0.2,0.2,0.2,0.2
"2",3.12877561325263e-05,0.102784020316989,0.487087622934143,0.322942144133265,0.0871549248594702
"3",3.43387176882781e-12,0.00141072413615557,0.26013420106265,0.542853594799263,0.195601479998497
"4",1.5324094559537e-15,0.000799386982341604,0.411210580877208,0.522285837881758,0.0657041942586911
"5",1.12577807506545e-22,7.70528219942922e-06,0.156928374003555,0.699476707889063,0.143587212825182
"6",4.85386348445474e-23,8.18050965351762e-05,0.543928006430757,0.44238090072725,0.013609287745458
"7",8.47850227346036e-27,1.8850044858604e-05,0.520857221513562,0.467934178090256,0.0111897503513239
"8",2.91402573519522e-29,1.53575445284795e-05,0.644304310951448,0.351506610388934,0.00417372111508943
"9",2.94042444994194e-35,3.95155912802677e-07,0.370268431457762,0.617261119029858,0.0124700543564676
"10",1.93165794848256e-37,4.78747683564537e-07,0.54618619668345,0.450195181664438,0.0036181429044277
"11",8.45180487251977e-42,6.13359199974079e-08,0.452206557726339,0.543537063165932,0.00425631777180947
"12",2.60293361282011e-49,4.01944423561387e-10,0.154078660507253,0.831974569724733,0.0139467693660697
"13",3.87083696641414e-52,3.09372743957124e-10,0.232869391991843,0.761614214243843,0.00551639345494053
"14",6.49359368607699e-54,5.59720738665572e-10,0.404369031098398,0.593978521580778,0.00165244676110294
"15",4.45322302038907e-58,8.10068011882e-11,0.328771129085898,0.669439434020916,0.00178943681217916
"16",1.35147326193916e-61,2.23286943302599e-11,0.320343834015743,0.678271655712795,0.00138451024913298
"17",3.4435615267864e-68,3.35044188445968e-13,0.129687866202337,0.867334502236537,0.00297763156079119
"18",3.09240131734037e-71,1.89354902815682e-13,0.171392118848271,0.827108154734733,0.00149972641680651
"19",1.38024897656617e-74,7.1403482812061e-14,0.189940538036043,0.809102229498996,0.000957232464889326
"20",1.36885230883282e-78,1.34702782202956e-14,0.165976849173675,0.833207844793123,0.00081530603318813
"21",1.68170567795827e-78,1.31175266151413e-13,0.449226181386648,0.550630319949525,0.000143498663695944
"22",3.06443344467205e-83,7.84185996527296e-15,0.271834858918817,0.727895751773626,0.00026938930754919
"23",3.82595601689333e-88,6.17291805272613e-16,0.183358713953316,0.816321153396025,0.000320132650657989
"24",2.61596925930599e-93,3.78231928277272e-17,0.112643761011479,0.8869792395136,0.000376999474920715
"25",7.95017501565154e-92,1.69543740872943e-15,0.507410402245354,0.492558711419834,3.0886334810144e-05
"26",9.33038903826187e-96,2.184787879747e-16,0.385916208902261,0.614038768741328,4.50223564107698e-05
"27",3.97455128037703e-97,4.12554739456233e-16,0.573592504062679,0.426393615209956,1.38807273645474e-05
"28",1.13628572183632e-98,4.52033497922758e-16,0.67752296249454,0.322470707536682,6.32996877831201e-06
"29",1.17469903539105e-102,5.97977804473959e-17,0.559333363975332,0.440656601680114,1.00343445548236e-05
"30",2.68248684014914e-105,3.62278721319539e-17,0.635272771472151,0.364722319717094,4.90881075532402e-06
